?	liquid	tnk_failure_pressure	liquid_ratio	tnk_width	tnk_length	tnk_height	BLEVE_height	vapour_temperature	liquid_temperature	status	gas_height	sensor_dist
G235	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	9
G236	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	10
G237	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	11
G238	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	12
G239	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	13
G240	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	14
G241	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	15
G242	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	16
G243	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	17
G244	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	18
G245	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	19
G246	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	20
G247	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	21
G248	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	22
G249	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	23
G250	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	24
G251	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	25
G252	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	26
G253	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	27
G254	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	28
G255	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	29
G256	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	30
G257	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	31
G258	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	32
G259	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	33
G260	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	34
G261	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	35
G262	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	36
G263	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	37
G264	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	38
G265	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	39
G266	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	40
G267	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	41
G268	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	42
G269	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	43
G270	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	44
G271	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	45
G272	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	46
G273	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	47
G274	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	48
G275	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	49
G276	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	50
G277	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.4	5
G278	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.4	6
G279	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.4	7
G280	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.4	8
G281	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.4	9
G282	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.4	10
G283	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.4	11
G284	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.4	12
G285	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.4	13
G286	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.4	14
G287	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.4	15
G288	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.4	16
G289	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.4	17
G290	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.4	18
G291	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.4	19
G292	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.4	20
G293	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.4	21
G294	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.4	22
G295	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.4	23
G296	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.4	24
G297	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.4	25
G298	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.4	26
